x1,x2,x3,x4
0.0,0.0,1.0,-3.6294820388528684
0.0,1.0,0.0,2.157649698375658
0.0,0.0,0.0,-0.7726501229036884
1.0,1.0,0.0,1.097782103783948
1.0,1.0,1.0,0.7148261211274666
1.0,1.0,1.0,-2.7705654119353986
0.0,0.0,0.0,1.9194864708562462
0.0,0.0,0.0,0.04256154838760252
0.0,0.0,1.0,0.08271255539025602
0.0,1.0,1.0,-0.5942101963958706
0.0,1.0,1.0,-0.16628724254669744
1.0,0.0,1.0,-0.9220955266994824
0.0,0.0,0.0,1.9146172194247986
1.0,0.0,0.0,-0.10658198548577863
1.0,1.0,1.0,0.4032346672442671
0.0,1.0,0.0,-0.2667640550063248
0.0,1.0,0.0,-0.7508401948070649
1.0,1.0,1.0,-1.5060619774479276
1.0,1.0,0.0,-0.05051418074992031
0.0,1.0,0.0,0.2342484310790362
0.0,0.0,1.0,0.22031123234044223
1.0,0.0,1.0,-0.5254869583383925
0.0,1.0,1.0,-0.18269775265786714
1.0,1.0,1.0,-0.3388410935330623
1.0,0.0,1.0,-6.867809837515914
0.0,0.0,1.0,0.07061436978098937
1.0,0.0,1.0,-0.716925569963841
0.0,0.0,0.0,-0.21359881988843693
1.0,1.0,0.0,0.49858179574765865
1.0,1.0,0.0,-0.6281799478000167
1.0,1.0,1.0,-0.3708571866929587
1.0,0.0,1.0,-0.11029899082606673
1.0,0.0,1.0,-0.3020394316793392
0.0,0.0,0.0,3.4066004054330294
1.0,0.0,1.0,-1.1992005830730514
0.0,0.0,0.0,-0.42783678266434927
1.0,0.0,1.0,-0.36049369096141554
0.0,1.0,1.0,0.03614824711198028
0.0,0.0,1.0,-0.8719312222042064
1.0,1.0,1.0,-1.0500797171246028
0.0,1.0,0.0,4.893839347565242
0.0,0.0,1.0,-0.9744119766915829
0.0,1.0,1.0,1.2470493654036257
1.0,1.0,1.0,2.050038001524963
1.0,1.0,0.0,-0.2949544077318889
1.0,0.0,0.0,-0.49310404811990266
1.0,0.0,0.0,-1.0445488942918248
1.0,0.0,1.0,-0.31069475239303035
0.0,1.0,0.0,0.08891915321230501
0.0,1.0,0.0,0.19813598237790273
0.0,1.0,1.0,-0.1406553006268524
1.0,0.0,0.0,1.3031860684575374
1.0,0.0,1.0,0.7702615752573848
1.0,1.0,0.0,-0.5813899371900354
0.0,0.0,1.0,-0.4132443742770938
1.0,1.0,1.0,-1.8925138626249458
0.0,1.0,0.0,-0.029882313556476886
0.0,0.0,0.0,1.9663533825945425
1.0,0.0,0.0,-0.3322700903883774
0.0,0.0,1.0,1.1951438605710292
1.0,0.0,1.0,-0.5225266692785472
0.0,0.0,0.0,-1.8128501576199298
1.0,0.0,1.0,-1.952760722744591
0.0,0.0,1.0,-2.8961848336762337
0.0,0.0,1.0,-0.4211291487080359
0.0,0.0,1.0,1.275859991103013
1.0,0.0,1.0,0.07705908868740814
1.0,1.0,0.0,2.6664812009143453
1.0,1.0,1.0,-0.19515417158215748
1.0,1.0,0.0,2.7980909037870996
1.0,1.0,1.0,-0.14266846578927622
1.0,0.0,1.0,-1.8217284882084186
0.0,1.0,0.0,1.7744744511164436
1.0,1.0,1.0,-1.005854470055547
0.0,0.0,0.0,0.3772022768282155
0.0,0.0,0.0,0.1416493064631528
0.0,0.0,1.0,-1.6950059771716885
0.0,0.0,1.0,-1.0479366466192694
1.0,0.0,1.0,-0.3672901692129434
0.0,1.0,0.0,2.2856440382781336
1.0,0.0,0.0,2.0164488358916617
0.0,1.0,0.0,0.26357802819452597
0.0,1.0,1.0,0.31856363013374134
0.0,0.0,1.0,-1.3586764451886708
1.0,1.0,0.0,1.0240254179302588
0.0,0.0,1.0,-0.8458829698446635
0.0,0.0,0.0,-0.3958488482324924
1.0,0.0,1.0,-0.38382719696367645
0.0,1.0,0.0,-0.3614388319607538
0.0,1.0,0.0,2.7358495939881573
1.0,1.0,0.0,0.16469677046827128
0.0,1.0,0.0,0.17564949421427575
0.0,1.0,1.0,0.44580215742162443
0.0,0.0,0.0,0.07112544422725244
1.0,0.0,1.0,-1.609589052236511
0.0,1.0,0.0,-0.34275741373518087
1.0,0.0,0.0,-0.014046881571875856
1.0,0.0,0.0,0.11362356603464527
0.0,0.0,1.0,-1.483117186642579
0.0,0.0,1.0,-2.1915598679488393
0.0,1.0,0.0,2.769455842010217
1.0,0.0,0.0,1.129983853031966
0.0,0.0,0.0,1.531522778226372
1.0,1.0,1.0,0.1774663636866266
0.0,1.0,0.0,1.6894957723316832
0.0,0.0,1.0,-0.03735511949046474
0.0,1.0,1.0,-0.41475049715627454
0.0,0.0,0.0,0.15425441068547593
1.0,1.0,0.0,0.6702577808525573
0.0,0.0,0.0,-0.04559400647898023
1.0,1.0,1.0,0.9268929827660286
0.0,1.0,1.0,-2.4441306091337074
0.0,0.0,1.0,0.4956451757212887
0.0,1.0,1.0,-0.5293496495674923
1.0,1.0,0.0,0.6428370515245714
1.0,0.0,1.0,-0.23693370336846334
0.0,0.0,0.0,0.3477105633842619
0.0,0.0,1.0,-0.3275459283410774
1.0,0.0,0.0,-0.5806634693968313
0.0,0.0,1.0,-1.322868019046112
1.0,1.0,1.0,0.17712537121377048
0.0,0.0,0.0,0.10889536152406874
0.0,1.0,0.0,-0.04005128770282874
1.0,1.0,1.0,-0.24082533429536576
1.0,0.0,1.0,-2.6085162004926934
1.0,0.0,1.0,0.4835814631897891
1.0,0.0,0.0,0.18668996197848928
1.0,0.0,0.0,-0.7294592255017168
0.0,0.0,1.0,-0.8807901557807696
1.0,0.0,1.0,-0.6211149995624419
1.0,1.0,0.0,1.0869099690627249
1.0,0.0,1.0,-1.73264310860684
0.0,0.0,0.0,-0.17307853662386302
1.0,0.0,0.0,1.6414556397247113
0.0,1.0,0.0,0.319225913636009
0.0,0.0,1.0,0.09970168353511409
1.0,1.0,0.0,0.04835503848186969
1.0,1.0,0.0,1.1525918089027278
1.0,1.0,1.0,0.27655931871827133
0.0,1.0,0.0,-0.38107534003433524
0.0,1.0,1.0,-0.22239261106472602
1.0,0.0,0.0,-0.19440738259157292
1.0,0.0,1.0,0.22799378354926134
0.0,0.0,1.0,-0.36350042899056884
1.0,1.0,0.0,-0.3397012884405717
1.0,0.0,1.0,-0.44135315496635025
1.0,0.0,1.0,0.023590098354496564
0.0,0.0,0.0,1.3340898954454665
0.0,1.0,1.0,0.07599730101549863
1.0,1.0,1.0,0.06457213017922142
0.0,0.0,1.0,-1.3233801941253966
0.0,0.0,1.0,-2.797794856998206
1.0,1.0,1.0,-1.5618945582332744
0.0,0.0,0.0,1.143881569459306
1.0,0.0,0.0,-0.3770908976701938
1.0,0.0,0.0,-0.041692995076446034
0.0,0.0,1.0,0.1900362820941722
1.0,1.0,0.0,1.6059180857485325
0.0,1.0,1.0,-0.41445999725998567
0.0,0.0,0.0,-0.3137336342196989
0.0,0.0,0.0,0.9460537216774493
0.0,0.0,1.0,-3.3108550798074976
0.0,1.0,0.0,0.16487091160677186
0.0,0.0,0.0,-0.01867575276991847
1.0,0.0,0.0,0.07264968959996661
1.0,1.0,0.0,2.7486867910682706
0.0,0.0,0.0,0.061535085422538195
0.0,1.0,1.0,0.01228304135383329
0.0,1.0,1.0,-0.3031870382320811
0.0,0.0,1.0,-0.907675636951682
1.0,0.0,1.0,-5.217327631386438
0.0,0.0,0.0,0.8881380146315377
1.0,1.0,0.0,-0.2020714043758834
0.0,1.0,0.0,-0.27646894859392374
0.0,1.0,0.0,0.8278883641215451
1.0,1.0,1.0,1.0505805645719208
1.0,1.0,0.0,1.6913654753423324
0.0,0.0,0.0,-0.1010396389960595
